fecha,extra_pred,super_pred,diesel_pred
2025-11-18,592.25,74.7641,1842.6902
2025-11-19,593.81,73.7576,1829.4754
2025-11-20,594.5118,72.7463,1781.7783
2025-11-21,596.5541,71.8957,1655.8659
2025-11-22,596.6243,71.0648,1399.7567
2025-11-23,599.0408,70.3209,919.3295
2025-11-24,599.2304,69.4569,1068.4324
2025-11-25,603.25,69.0599,1733.76
2025-11-26,611.2472,68.6483,1711.6108
2025-11-27,616.641,68.8411,1680.3325
2025-11-28,616.6849,68.9157,1596.4555
2025-11-29,618.6956,68.5247,1403.0554
2025-11-30,616.3512,67.9022,977.6745
2025-12-01,613.9455,67.2557,1049.7606
2025-12-02,608.867,66.5581,1960.3034
2025-12-03,609.8097,66.1508,1968.7414
2025-12-04,613.641,66.1126,1920.1034
2025-12-05,617.0617,66.1839,1798.7788
2025-12-06,616.1601,65.8512,1569.7828
2025-12-07,615.9923,65.3025,1144.4159
2025-12-08,614.5676,64.8623,1184.4337
2025-12-09,615.3307,64.5369,1922.07
2025-12-10,617.8105,64.1837,1922.1168
2025-12-11,616.4838,63.6583,1859.7467
2025-12-12,612.2664,63.079,1741.0792
2025-12-13,606.0899,62.4674,1537.0689
2025-12-14,600.5417,61.6535,1122.4349
2025-12-15,593.7945,60.6818,920.2716
2025-12-16,587.0356,60.1509,1958.9342
2025-12-17,587.3513,59.5633,2013.8863
